Tue Jul  1 18:35:42 2014    timing.4

         2309495 function calls (2251965 primitive calls) in 91.244 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2862    0.113    0.000    1.384    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/protobuf_tlv.py:151(_decodeFieldValue)
      963    0.544    0.001    1.376    0.001 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:191(equals)
     3816    0.485    0.000    1.344    0.000 /usr/lib/python2.7/logging/__init__.py:451(format)
     2898    0.281    0.000    1.341    0.000 /home/pi/ndn/PyNDN2/python/pyndn/name.py:307(append)
25772/17185    0.880    0.000    1.293    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/change_counter.py:61(checkChanged)
     7632    0.258    0.000    1.243    0.000 /usr/lib/python2.7/logging/__init__.py:692(acquire)
      954    0.162    0.000    1.198    0.001 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:595(_encodeSignatureSha256WithRsa)
      965    0.073    0.000    1.179    0.001 /home/pi/ndn/PyNDN2/python/pyndn/name.py:80(toEscapedString)
 1924/965    0.569    0.000    1.093    0.001 /home/pi/ndn/PyNDN2/python/pyndn/name.py:551(toEscapedString)
     3875    0.111    0.000    1.088    0.000 {getattr}
     7645    0.534    0.000    0.986    0.000 /usr/lib/python2.7/threading.py:121(acquire)
     3823    0.484    0.000    0.982    0.000 /home/pi/ndn/PyNDN2/python/pyndn/key_locator.py:37(__init__)
     2860    0.214    0.000    0.929    0.000 /home/pi/ndn/PyNDN2/python/pyndn/data.py:234(getChangeCount)
        1    0.000    0.000    0.929    0.929 /home/pi/ndn/PyNDN2/python/pyndn/face.py:247(registerPrefix)
        1    0.000    0.000    0.928    0.928 /home/pi/ndn/PyNDN2/python/pyndn/node.py:130(registerPrefix)
        1    0.001    0.001    0.928    0.928 /home/pi/ndn/PyNDN2/python/pyndn/node.py:405(_nfdRegisterPrefix)
    12421    0.436    0.000    0.923    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/change_counter.py:36(__init__)
     3816    0.511    0.000    0.920    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:286(init)
     3820    0.328    0.000    0.899    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:34(__init__)
    35422    0.683    0.000    0.871    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:290(__len__)
        1    0.000    0.000    0.867    0.867 /home/pi/ndn/PyNDN2/python/pyndn/node.py:112(makeCommandInterest)
        1    0.001    0.001    0.867    0.867 /home/pi/ndn/PyNDN2/python/pyndn/util/command_interest_generator.py:45(generate)
      2/1    0.000    0.000    0.860    0.860 /home/pi/ndn/PyNDN2/python/pyndn/security/key_chain.py:255(sign)
        1    0.001    0.001    0.860    0.860 /home/pi/ndn/PyNDN2/python/pyndn/security/key_chain.py:285(_signInterest)
   128304    0.842    0.000    0.842    0.000 {time.time}
        1    0.000    0.000    0.834    0.834 /home/pi/ndn/PyNDN2/python/pyndn/security/identity/identity_manager.py:244(signByCertificate)
      955    0.062    0.000    0.829    0.001 /home/pi/ndn/PyNDN2/python/pyndn/data.py:208(setSignature)
        1    0.001    0.001    0.824    0.824 /home/pi/ndn/PyNDN2/python/pyndn/security/identity/file_private_key_storage.py:78(sign)
      953    0.103    0.000    0.824    0.001 /home/pi/ndn/PyNDN2/python/pyndn/data.py:155(getDefaultWireEncoding)
     3816    0.295    0.000    0.822    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:467(getter)
      956    0.294    0.000    0.820    0.001 /home/pi/ndn/PyNDN2/python/pyndn/interest.py:33(__init__)
     7632    0.202    0.000    0.769    0.000 /usr/lib/python2.7/logging/__init__.py:699(release)
    40491    0.714    0.000    0.714    0.000 {isinstance}
     9549    0.296    0.000    0.707    0.000 /home/pi/ndn/PyNDN2/python/pyndn/key_locator.py:129(getChangeCount)
      955    0.231    0.000    0.674    0.001 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_structure_decoder.py:47(findElementEnd)
        1    0.000    0.000    0.653    0.653 /usr/local/lib/python2.7/dist-packages/Crypto/Signature/PKCS1_v1_5.py:85(sign)
     3817    0.095    0.000    0.646    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:236(readOptionalNonNegativeIntegerTlv)
      955    0.112    0.000    0.639    0.001 /home/pi/ndn/PyNDN2/python/pyndn/data.py:222(setContent)
        1    0.000    0.000    0.636    0.636 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py:152(decrypt)
        1    0.000    0.000    0.636    0.636 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/pubkey.py:79(decrypt)
     3839    0.531    0.000    0.633    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/dynamic_byte_array.py:97(copyFromBack)
        1    0.000    0.000    0.629    0.629 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py:226(_decrypt)
     2864    0.373    0.000    0.626    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/signed_blob.py:40(__init__)
      953    0.223    0.000    0.625    0.001 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:546(_encodeMetaInfo)
     4769    0.139    0.000    0.621    0.000 /home/pi/ndn/PyNDN2/python/pyndn/sha256_with_rsa_signature.py:110(getChangeCount)
    25845    0.465    0.000    0.579    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/dynamic_byte_array.py:76(ensureLengthFromBack)
      954    0.118    0.000    0.577    0.001 /usr/lib/pymodules/python2.7/google/protobuf/internal/containers.py:207(add)
     7645    0.432    0.000    0.567    0.000 /usr/lib/python2.7/threading.py:141(release)
      955    0.038    0.000    0.567    0.001 /home/pi/ndn/PyNDN2/python/pyndn/sha256_with_rsa_signature.py:56(clone)
      955    0.053    0.000    0.555    0.001 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:255(readOptionalNonNegativeIntegerTlvAsFloat)
     3112    0.126    0.000    0.543    0.000 {setattr}
     3816    0.533    0.000    0.533    0.000 {method 'flush' of 'file' objects}
        3    0.511    0.170    0.511    0.170 {pow}
        1    0.002    0.002    0.509    0.509 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/_slowmath.py:49(_decrypt)
     1908    0.106    0.000    0.485    0.000 /usr/lib/python2.7/logging/__init__.py:404(formatTime)
      955    0.117    0.000    0.475    0.000 /home/pi/ndn/PyNDN2/python/pyndn/meta_info.py:100(setFinalBlockID)
    12451    0.371    0.000    0.474    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/common.py:92(stringToUtf8Array)
     6704    0.321    0.000    0.445    0.000 /home/pi/ndn/PyNDN2/python/pyndn/name.py:38(__init__)
      954    0.094    0.000    0.441    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:629(_encodeKeyLocator)
     4797    0.423    0.000    0.423    0.000 {method 'acquire' of 'thread.lock' objects}
     2862    0.172    0.000    0.417    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:434(setter)
      954    0.053    0.000    0.416    0.000 /home/pi/ndn/PyNDN2/python/pyndn/data.py:252(_setDefaultWireEncoding)
      955    0.076    0.000    0.392    0.000 /home/pi/ndn/PyNDN2/python/pyndn/meta_info.py:35(__init__)
      954    0.046    0.000    0.385    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:319(readBooleanTlv)
     3818    0.213    0.000    0.379    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:185(readNonNegativeInteger)
        1    0.015    0.015    0.353    0.353 light_command_pb2.py:3(<module>)
     3816    0.229    0.000    0.350    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:961(__init__)
