Tue Jul  1 11:53:13 2014    timing.2

         1539768 function calls (1503430 primitive calls) in 51.438 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2930    0.064    0.000    0.748    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:113(readNestedTlvsStart)
     2348    0.175    0.000    0.726    0.000 /usr/lib/python2.7/random.py:173(randrange)
    54690    0.717    0.000    0.717    0.000 /home/pi/PyNDN2/python/pyndn/transport/unix_transport.py:131(getIsConnected)
       23    0.001    0.000    0.709    0.031 /usr/lib/python2.7/re.py:188(compile)
       23    0.008    0.000    0.708    0.031 /usr/lib/python2.7/re.py:226(_compile)
     9974    0.425    0.000    0.705    0.000 /home/pi/PyNDN2/python/pyndn/util/change_counter.py:36(__init__)
        1    0.008    0.008    0.701    0.701 /usr/lib/pymodules/python2.7/numpy/add_newdocs.py:9(<module>)
       23    0.004    0.000    0.699    0.030 /usr/lib/python2.7/sre_compile.py:495(compile)
     2933    0.344    0.000    0.663    0.000 /home/pi/PyNDN2/python/pyndn/key_locator.py:37(__init__)
        1    0.020    0.020    0.617    0.617 /usr/local/lib/python2.7/dist-packages/mock.py:17(<module>)
6450/4104    0.334    0.000    0.599    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:754(__setattr__)
     2348    0.095    0.000    0.587    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:142(writeNonNegativeIntegerTlv)
        1    0.007    0.007    0.585    0.585 /usr/lib/python2.7/inspect.py:25(<module>)
     1186    0.398    0.000    0.574    0.000 /home/pi/PyNDN2/python/pyndn/name.py:630(_unescape)
15251/11146    0.379    0.000    0.556    0.000 /home/pi/PyNDN2/python/pyndn/util/change_counter.py:61(checkChanged)
     2348    0.190    0.000    0.551    0.000 /usr/lib/python2.7/random.py:809(random)
        1    0.022    0.022    0.545    0.545 /usr/lib/pymodules/python2.7/numpy/polynomial/__init__.py:15(<module>)
      586    0.106    0.000    0.518    0.001 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:574(_decodeMetaInfo)
        1    0.031    0.031    0.508    0.508 /usr/lib/pymodules/python2.7/numpy/lib/__init__.py:1(<module>)
    30630    0.494    0.000    0.508    0.000 {isinstance}
        1    0.006    0.006    0.499    0.499 /usr/lib/python2.7/tokenize.py:23(<module>)
      587    0.166    0.000    0.473    0.001 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:452(_encodeSelectors)
       17    0.002    0.000    0.472    0.028 {map}
     2348    0.237    0.000    0.439    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:300(init)
     1174    0.069    0.000    0.420    0.000 /home/pi/PyNDN2/python/pyndn/interest.py:130(getNonce)
     1759    0.223    0.000    0.403    0.000 /home/pi/PyNDN2/python/pyndn/util/signed_blob.py:40(__init__)
    22306    0.308    0.000    0.403    0.000 /home/pi/PyNDN2/python/pyndn/util/dynamic_byte_array.py:76(ensureLengthFromBack)
     2348    0.136    0.000    0.388    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:491(getter)
      586    0.033    0.000    0.388    0.001 /home/pi/PyNDN2/python/pyndn/data.py:208(setSignature)
        1    0.012    0.012    0.386    0.386 light_command_pb2.py:3(<module>)
    55863    0.382    0.000    0.382    0.000 {time.time}
      586    0.133    0.000    0.380    0.001 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_structure_decoder.py:47(findElementEnd)
    19940    0.277    0.000    0.367    0.000 /home/pi/PyNDN2/python/pyndn/util/blob.py:290(__len__)
     6452    0.154    0.000    0.360    0.000 /home/pi/PyNDN2/python/pyndn/key_locator.py:129(getChangeCount)
       23    0.002    0.000    0.358    0.016 /usr/lib/python2.7/sre_compile.py:480(_code)
     1758    0.151    0.000    0.346    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:34(__init__)
        1    0.003    0.003    0.341    0.341 /usr/lib/pymodules/python2.7/numpy/lib/type_check.py:3(<module>)
     1761    0.101    0.000    0.341    0.000 /home/pi/PyNDN2/python/pyndn/interest.py:331(getChangeCount)
        1    0.060    0.060    0.338    0.338 /usr/lib/pymodules/python2.7/numpy/core/__init__.py:2(<module>)
       23    0.003    0.000    0.336    0.015 /usr/lib/python2.7/sre_parse.py:663(parse)
    97/23    0.021    0.000    0.329    0.014 /usr/lib/python2.7/sre_parse.py:301(_parse_sub)
   179/26    0.132    0.001    0.326    0.013 /usr/lib/python2.7/sre_parse.py:379(_parse)
